Word,Chinese Translation
a(an),art. 一个
abandon,抛弃，舍弃，放弃
ability,能力；才能
able,能够；有能力的
abnormal,反常的，变态的
aboard,上（船，飞机，火车，汽车等）
abolish,废除，废止
abortion,流产;流产的胎儿;畸形;夭折
about,大约；到处；四处 关于；在各处；四处
above,在......上面 上面的 在......之上
abroad,到（在）国外
abrupt,陡峭的;突然的，意外的;无理的，唐突的;不连贯的
absence,不在，缺席
absent,缺席，不在
absolute,完全，全部，绝对的
absorb,吸收，使全神贯注
abstract,抽象的（作品）
absurd,荒谬的;荒唐的;无理性的，杂乱无章的;荒诞主义的，荒诞的;
abundant,大量,丰盛的,充裕的
abuse,（酗酒）滥用,虐待,恶语
academic,学术的，教学的
academy,专科学院,（美）私立学校
accelerate,（使）加速，加快
accent,口音，音调
accept,接受
access,通道，入径，存取（计算机文件）
accessible,可到达的，可接受的，易相处的）
accident,事故，意外的事
accommodation,住处;适应;和解;便利;
accompany,陪同，陪伴，与...同时发生
accomplish,完成
account,账目;描述
accountant,会计，会计师
accumulate,积累，积聚
accuracy,准确，精确
accurate,精确的，准确的
accuse,谴责；控告；指责
accustomed,习惯于,惯常的
ache,痛，疼痛
achieve,达到，取得
achievement,成就,成绩,功绩
acid,酸的;酸性的;酸味的;尖刻的
acknowledge,承认
acquaintance,相识;相识的人，熟人;对...有了解;知识，心得;
acquire,获得，得到
acquisition,收购;获得;购置物;获得物;
acre,英亩
across,横过，穿过
act,法令，条例 扮演（角色）；行动，做事
action,行动
active,积极的，主动的
activity,活动
actor,男演员
actress,女演员
actual,实际的；现实的
acute,尖的，锐的;敏锐的，敏感的;严重的，剧烈的;[医]急性的
AD,公元
ad=advertisement,广告
adapt,使适应，适合，改编
adaptation,适应，顺应;改编，改编本;适应性的改变;同化
add,添加，增加
addicted,上瘾，成瘾，入迷
addition,增加;（算数用语）加
address,地址
adequate,合适的，合乎需要的
adjust,调整,调节,适应,习惯
adjustment,调整，适应
administration,管理,行政部门
admirable,值得赞赏的,可钦佩的
admire,钦佩；羡慕
admission,准入,接纳
admit,承认，准许（入场，入学，入会）
adolescence,青春期;青年期
adolescent,青少年
adopt,收养，领养
adore,（不用于进行时）热爱，爱慕某人
adult,成年人
advance,推进，促进；前进; 前进，进展；增进，进步；向上，晋升
advantage,优点；好处
adventure,冒险；奇遇
advertise,为......做广告
advertisement,广告
advice,忠告，劝告，建议
advise,忠告，劝告，建议
advocate,拥护，支持，提倡
affair,事，事情
affect,影响
affection,喜爱，钟爱
afford,负担得起费用；抽得出（时间）；提供
afraid,害怕的；担心
Africa,非洲
African,非洲的，非洲人的 非洲人
after,在后；后来 在...之后；在后面
afternoon,下午，午后
afterward(s),后来
again,再一次；再，又
against,对着，反对
age,年龄；时代
agency,代理机构
agenda,议事日程;待议诸事项一览表;日常工作事项;议程（agendum的名词复数）
agent,代理人，经济人
aggressive,侵略的；咄咄逼人
ago,以前
agree,同意；应允
agreement,同意，一致；协定，协议
agricultural,农业的
agriculture,农业，农学
ahead,在前，向前
aid,援助；救护；辅助器具 帮助，援助；协助；接济
AIDS,艾滋病
aim,目的；目标 计划，打算；瞄准；针对
air,空气；大气
aircraft,飞机(单复数同)
airline,航空公司；航空系统
airmail,航空邮件
airplane,<美>飞机
airport,航空站，飞机场
airspace,领空，（某国的）空域
alarm,警报 向...告急，向...报警，警戒
album,相册，影集，集邮簿
alcohol,含酒精饮料，酒
alcoholic,酒精的，含酒精的;酒精中毒的 酗酒者，酒鬼;酒精中毒者
algebra,代数学，代数
alike,很相似地，同样地
alive,活着的，存在的
all,全部地 全（部）;所有的;总;整 全部
allergic,过敏的，厌恶
alley,小径;胡同，小巷;球道
allocate,分配，分派;把...拨给
allow,允许，准许
allowance,限额;折扣;津贴，补贴，零用钱;默许，默认
almost,几乎，差不多
alone,单独的，孤独的
along,向前；和...一起；一同 沿着；顺着
alongside,在...旁边,与...同时
aloud,大声地
alphabet,字母表，字母
already,已经
also,也
alternative,可供替代,非传统的
although,虽然，尽管
altitude,海拔高度
altogether,总共
aluminium(Am aluminum),<美>铝
always,总是；一直；永远
am,v(be)
a.m.&am, A.M.&AM,（缩）上午，午前
amateur,业余爱好的
amaze,惊奇，惊叹；震惊
amazing,惊奇,惊叹的;震惊的
ambassador,大使，使节;（派驻联合国等国际组织的）代表;特使;[比喻]使者
ambassadress,大使夫人;女大使
ambiguous,模棱两可的
ambition,目标,野心,雄心,抱负
ambulance,救护车
America,美国；美洲
among,在...中间；在（三个以上）之间
amount,金额，数量，总计
ample,足够的;充足的，丰富的;宽敞的，广大的;富裕的
amuse,（使人）快乐，逗乐
amusement,娱乐
analyse,分析;分解;细察;"analyze"的变体
analysis,分析，分解;梗概，要略;[数]解析;验定复数：analyses
ancestor,祖宗；祖先
anchor,v & n
ancient,古代的，古老的
and,和；又；而
anecdote,逸事，趣闻
anger,怒，愤怒
angle,角度
angry,生气的，愤怒的
animal,动物
ankle,踝，踝关节
anniversary,周年纪念日
announce,宣布，宣告
annoy,（使）烦恼
annual,每年的，年度的，一年一次的
another,再一；另一；别的；不同的 另一个
answer,回答,答复;回信;答案 回答,答复;回信;
ant,蚂蚁
Antarctic,南极的
antique,古玩，古董;古风，古希腊和古罗马艺术风格;
anxiety,担忧，焦虑
anxious,忧虑的，焦急的
any,无论哪一个；任何的 〔用于疑问句、否定句、条件子句中，或用于肯定句但与含有疑问、否定意义的词连用〕什么，一些，一点
anybody,任何人，无论谁
anyhow,不管怎样
anyone,任何人，无论谁
anything,什么事（物）；任何事（物）
anyway,不管怎样
anywhere,任何地方
apart,相隔，相距，除外
apartment,（美）楼中单元房，一套房间；房间
apologize,道歉，谢罪
apology,道歉；歉意
apparent,显而易见
appeal,呼吁；上诉，申诉，吸引力
appear,出现
appearance,出现，露面；容貌
appendix,附录;阑尾;附加物
appetite,食欲，胃口
applaud,鼓掌,赞许,赞赏
apple,苹果
applicant,申请人
application,申请
apply,申请
appoint,任命，委任，安排，确定（时间，地点）
appointment,约会
appreciate,欣赏；感激
appreciation,欣赏,鉴定,评估
approach,靠近，接近，建议，要求
appropriate,合适的，恰当的
approval,同意，批准
approve,赞成,同意,批准,通过
approximately,近似地，大约;许
apron,围裙;[航]停机坪;[机]（防护）挡板;舞台口;
arbitrary,随心所欲的，独裁的，专断的
arch,拱门;弓形;拱形物;足弓，齿弓;
architect,建筑师，设计师
architecture,建筑学，建筑设计，风格
Arctic,北极的
are,v(be)
area,面积；地域，地方，区域；范围，领域
argue,争辩，争论
argument,争论，辩论
arise(arose, arisen),起来，升起；出现
arithmetic,算法;算术，计算
arm,臂,支架;武器,武力 以...装备,武装起来
armchair,扶手椅
army,军队
around,在周围；在附近 在......周围；大约
arrange,安排，布置
arrangement,安排，布置
arrest,逮捕，拘留
arrival,到来，到达
arrive,到达；达到
arrow,箭；箭头
art,艺术，美术；技艺
article,文章;东西,物品;冠词
artificial,人工的，人造的
artist,艺术家
as,像...一样；如同；因为 作为
ash,灰；灰末
ashamed,惭愧；害臊
Asia,亚洲
