word,translation,category,subcategory,difficulty,wordType,definition,definitionZh,exampleSentence,exampleSentenceZh,tags,tagsZh
"a(an)","art. 一个","education","","beginner","noun","A word meaning: art. 一个","art. 一个","","","noun","名词"
"abandon","抛弃，舍弃，放弃","various","","intermediate","noun","A word meaning: 抛弃","抛弃","","","noun","名词"
"ability","能力；才能","various","","intermediate","noun","A word meaning: 能力","能力","","","noun","名词"
"able","能够；有能力的","food","","beginner","adjective","A word meaning: 能够","能够","","","adjective","形容词"
"abnormal","反常的，变态的","various","","intermediate","adjective","A word meaning: 反常的","反常的","","","adjective","形容词"
"aboard","上（船，飞机，火车，汽车等）","various","","intermediate","noun","A word meaning: 上（船","上（船","","","noun","名词"
"abolish","废除，废止","various","","intermediate","noun","A word meaning: 废除","废除","","","noun","名词"
"abortion","流产;流产的胎儿;畸形;夭折","various","","intermediate","noun;adjective","A word meaning: 流产","流产","","","noun;adjective","名词;形容词"
"about","大约；到处；四处 关于；在各处；四处","various","","beginner","noun","A word meaning: 大约","大约","","","noun","名词"
"above","在......上面 上面的 在......之上","various","","beginner","adjective","A word meaning: 在......上面 上面的 在......之上","在......上面 上面的 在......之上","","","adjective","形容词"
"abroad","到（在）国外","transportation","","intermediate","noun","A word meaning: 到（在）国外","到（在）国外","","","noun","名词"
"abrupt","陡峭的;突然的，意外的;无理的，唐突的;不连贯的","various","","intermediate","adjective","A word meaning: 陡峭的","陡峭的","","","adjective","形容词"
"absence","不在，缺席","various","","intermediate","noun","A word meaning: 不在","不在","","","noun","名词"
"absent","缺席，不在","various","","intermediate","noun","A word meaning: 缺席","缺席","","","noun","名词"
"absolute","完全，全部，绝对的","various","","intermediate","adjective","A word meaning: 完全","完全","","","adjective","形容词"
"absorb","吸收，使全神贯注","various","","intermediate","noun","A word meaning: 吸收","吸收","","","noun","名词"
"abstract","抽象的（作品）","various","","intermediate","adjective","A word meaning: 抽象的（作品）","抽象的（作品）","","","adjective","形容词"
"absurd","荒谬的;荒唐的;无理性的，杂乱无章的;荒诞主义的，荒诞的;","various","","intermediate","adjective","A word meaning: 荒谬的","荒谬的","","","adjective","形容词"
"abundant","大量","animals","insects","intermediate","noun","A word meaning: 大量","大量","","","noun","名词"
"abuse","（酗酒）滥用","transportation","land-travel","beginner","noun","A word meaning: （酗酒）滥用","（酗酒）滥用","","","noun","名词"
"academic","学术的，教学的","various","","intermediate","adjective","A word meaning: 学术的","学术的","","","adjective","形容词"
"academy","专科学院","various","","intermediate","noun","A word meaning: 专科学院","专科学院","","","noun","名词"
"accelerate","（使）加速，加快","animals","mammals","advanced","verb","A word meaning: （使）加速","（使）加速","","","verb","动词"
"accent","口音，音调","various","","intermediate","noun","A word meaning: 口音","口音","","","noun","名词"
"accept","接受","various","","intermediate","noun","A word meaning: 接受","接受","","","noun","名词"
"access","通道，入径，存取（计算机文件）","various","","intermediate","noun","A word meaning: 通道","通道","","","noun","名词"
"accessible","可到达的，可接受的，易相处的）","various","","advanced","adjective","A word meaning: 可到达的","可到达的","","","adjective","形容词"
"accident","事故，意外的事","various","","intermediate","adjective","A word meaning: 事故","事故","","","adjective","形容词"
"accommodation","住处;适应;和解;便利;","various","","advanced","noun","A word meaning: 住处","住处","","","noun","名词"
"accompany","陪同，陪伴，与...同时发生","various","","advanced","noun","A word meaning: 陪同","陪同","","","noun","名词"
"accomplish","完成","various","","advanced","noun","A word meaning: 完成","完成","","","noun","名词"
"account","账目;描述","education","","intermediate","noun","A word meaning: 账目","账目","","","noun","名词"
"accountant","会计，会计师","animals","insects","advanced","noun","A word meaning: 会计","会计","","","noun","名词"
"accumulate","积累，积聚","various","","advanced","verb","A word meaning: 积累","积累","","","verb","动词"
"accuracy","准确，精确","various","","intermediate","noun","A word meaning: 准确","准确","","","noun","名词"
"accurate","精确的，准确的","animals","mammals","intermediate","verb;adjective","A word meaning: 精确的","精确的","","","verb;adjective","动词;形容词"
"accuse","谴责；控告；指责","various","","intermediate","noun","A word meaning: 谴责","谴责","","","noun","名词"
"accustomed","习惯于","various","","advanced","noun","A word meaning: 习惯于","习惯于","","","noun","名词"
"ache","痛，疼痛","education","","beginner","noun","A word meaning: 痛","痛","","","noun","名词"
"achieve","达到，取得","various","","intermediate","noun","A word meaning: 达到","达到","","","noun","名词"
"achievement","成就","various","","advanced","noun","A word meaning: 成就","成就","","","noun","名词"
"acid","酸的;酸性的;酸味的;尖刻的","various","","beginner","adjective","A word meaning: 酸的","酸的","","","adjective","形容词"
"acknowledge","承认","animals","birds","advanced","noun","A word meaning: 承认","承认","","","noun","名词"
"acquaintance","相识;相识的人，熟人;对...有了解;知识，心得;","various","","advanced","adjective","A word meaning: 相识","相识","","","adjective","形容词"
"acquire","获得，得到","various","","intermediate","noun","A word meaning: 获得","获得","","","noun","名词"
"acquisition","收购;获得;购置物;获得物;","actions-verbs","","advanced","noun","A word meaning: 收购","收购","","","noun","名词"
"acre","英亩","various","","beginner","noun","A word meaning: 英亩","英亩","","","noun","名词"
"across","横过，穿过","various","","intermediate","noun","A word meaning: 横过","横过","","","noun","名词"
"act","法令，条例 扮演（角色）；行动，做事","various","","beginner","noun","A word meaning: 法令","法令","","","noun","名词"
"action","行动","various","","intermediate","noun","A word meaning: 行动","行动","","","noun","名词"
"active","积极的，主动的","various","","intermediate","adjective","A word meaning: 积极的","积极的","","","adjective","形容词"
"activity","活动","various","","intermediate","noun","A word meaning: 活动","活动","","","noun","名词"
"actor","男演员","various","","beginner","noun","A word meaning: 男演员","男演员","","","noun","名词"
"actress","女演员","various","","intermediate","noun","A word meaning: 女演员","女演员","","","noun","名词"
"actual","实际的；现实的","various","","intermediate","adjective","A word meaning: 实际的","实际的","","","adjective","形容词"
"acute","尖的，锐的;敏锐的，敏感的;严重的，剧烈的;[医]急性的","various","","beginner","adjective","A word meaning: 尖的","尖的","","","adjective","形容词"
"AD","公元","food","","beginner","noun","A word meaning: 公元","公元","","","noun","名词"
"ad=advertisement","广告","various","","advanced","noun","A word meaning: 广告","广告","","","noun","名词"
"adapt","使适应，适合，改编","various","","beginner","noun","A word meaning: 使适应","使适应","","","noun","名词"
"adaptation","适应，顺应;改编，改编本;适应性的改变;同化","various","","advanced","noun;adjective","A word meaning: 适应","适应","","","noun;adjective","名词;形容词"
"add","添加，增加","various","","beginner","noun","A word meaning: 添加","添加","","","noun","名词"
"addicted","上瘾，成瘾，入迷","various","","intermediate","noun","A word meaning: 上瘾","上瘾","","","noun","名词"
"addition","增加;（算数用语）加","various","","intermediate","noun","A word meaning: 增加","增加","","","noun","名词"
"address","地址","clothing","womens-clothing","intermediate","adverb","A word meaning: 地址","地址","","","adverb","副词"
"adequate","合适的，合乎需要的","various","","intermediate","verb;adjective","A word meaning: 合适的","合适的","","","verb;adjective","动词;形容词"
"adjust","调整","various","","intermediate","noun","A word meaning: 调整","调整","","","noun","名词"
"adjustment","调整，适应","various","","advanced","noun","A word meaning: 调整","调整","","","noun","名词"
"administration","管理","animals","mammals","advanced","noun","A word meaning: 管理","管理","","","noun","名词"
"admirable","值得赞赏的","various","","advanced","adjective","A word meaning: 值得赞赏的","值得赞赏的","","","adjective","形容词"
"admire","钦佩；羡慕","various","","intermediate","noun","A word meaning: 钦佩","钦佩","","","noun","名词"
"admission","准入","various","","advanced","noun","A word meaning: 准入","准入","","","noun","名词"
"admit","承认，准许（入场，入学，入会）","various","","beginner","noun","A word meaning: 承认","承认","","","noun","名词"
"adolescence","青春期;青年期","various","","advanced","noun","A word meaning: 青春期","青春期","","","noun","名词"
"adolescent","青少年","various","","advanced","noun","A word meaning: 青少年","青少年","","","noun","名词"
"adopt","收养，领养","various","","beginner","noun","A word meaning: 收养","收养","","","noun","名词"
"adore","（不用于进行时）热爱，爱慕某人","various","","beginner","noun","A word meaning: （不用于进行时）热爱","（不用于进行时）热爱","","","noun","名词"
"adult","成年人","various","","beginner","noun","A word meaning: 成年人","成年人","","","noun","名词"
"advance","推进，促进；前进; 前进，进展；增进，进步；向上，晋升","transportation","","intermediate","noun","A word meaning: 推进","推进","","","noun","名词"
"advantage","优点；好处","animals","insects","advanced","noun","A word meaning: 优点","优点","","","noun","名词"
"adventure","冒险；奇遇","various","","advanced","noun","A word meaning: 冒险","冒险","","","noun","名词"
"advertise","为......做广告","various","","advanced","verb","A word meaning: 为......做广告","为......做广告","","","verb","动词"
"advertisement","广告","various","","advanced","noun","A word meaning: 广告","广告","","","noun","名词"
"advice","忠告，劝告，建议","nature","","intermediate","noun","A word meaning: 忠告","忠告","","","noun","名词"
"advise","忠告，劝告，建议","various","","intermediate","verb","A word meaning: 忠告","忠告","","","verb","动词"
"advocate","拥护，支持，提倡","animals","mammals","intermediate","verb","A word meaning: 拥护","拥护","","","verb","动词"
"affair","事，事情","nature","","intermediate","noun","A word meaning: 事","事","","","noun","名词"
"affect","影响","various","","intermediate","noun","A word meaning: 影响","影响","","","noun","名词"
"affection","喜爱，钟爱","various","","advanced","noun","A word meaning: 喜爱","喜爱","","","noun","名词"
"afford","负担得起费用；抽得出（时间）；提供","various","","intermediate","noun","A word meaning: 负担得起费用","负担得起费用","","","noun","名词"
"afraid","害怕的；担心","various","","intermediate","adjective","A word meaning: 害怕的","害怕的","","","adjective","形容词"
"Africa","非洲","various","","intermediate","noun","A word meaning: 非洲","非洲","","","noun","名词"
"African","非洲的，非洲人的 非洲人","various","","intermediate","adjective","A word meaning: 非洲的","非洲的","","","adjective","形容词"
"after","在后；后来 在...之后；在后面","time","","beginner","noun","A word meaning: 在后","在后","","","noun","名词"
"afternoon","下午，午后","time","","advanced","noun","A word meaning: 下午","下午","","","noun","名词"
"afterward(s)","后来","various","","advanced","noun","A word meaning: 后来","后来","","","noun","名词"
"again","再一次；再，又","various","","beginner","noun","A word meaning: 再一次","再一次","","","noun","名词"
"against","对着，反对","various","","intermediate","noun","A word meaning: 对着","对着","","","noun","名词"
"age","年龄；时代","food","","beginner","noun","A word meaning: 年龄","年龄","","","noun","名词"
"agency","代理机构","various","","intermediate","noun","A word meaning: 代理机构","代理机构","","","noun","名词"
"agenda","议事日程;待议诸事项一览表;日常工作事项;议程（agendum的名词复数）","actions-verbs","","intermediate","adjective","A word meaning: 议事日程","议事日程","","","adjective","形容词"
"agent","代理人，经济人","various","","beginner","noun","A word meaning: 代理人","代理人","","","noun","名词"
"aggressive","侵略的；咄咄逼人","various","","advanced","adjective","A word meaning: 侵略的","侵略的","","","adjective","形容词"
"ago","以前","animals","","beginner","noun","A word meaning: 以前","以前","","","noun","名词"
"agree","同意；应允","various","","beginner","noun","A word meaning: 同意","同意","","","noun","名词"
"agreement","同意，一致；协定，协议","various","","advanced","noun","A word meaning: 同意","同意","","","noun","名词"
"agricultural","农业的","various","","advanced","adjective","A word meaning: 农业的","农业的","","","adjective","形容词"
"agriculture","农业，农学","various","","advanced","noun","A word meaning: 农业","农业","","","noun","名词"
"ahead","在前，向前","body","","beginner","noun","A word meaning: 在前","在前","","","noun","名词"
"aid","援助；救护；辅助器具 帮助，援助；协助；接济","various","","beginner","noun","A word meaning: 援助","援助","","","noun","名词"
